Product ID,Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit,Product Line,Product Category,Product Group,Product Name,Supplier Country,Supplier Name,Supplier ID
210200400091,91621,Silver,25-Feb-17,25-Feb-17,123006589,1,40.7,20.45,Children,Children Sports,"Eclipse, Kid's Shoes",Tony's Perish Nubuck(P),US,Eclipse Inc,1303
220100300012,87976,Silver,24-Jan-17,24-Jan-17,123030189,2,22.8,5.6,Clothes & Shoes,Clothes,Knitwear,Instyle Long Pants without Fly,US,AllSeasons Outdoor Clothing,772
220101200011,41027,GOLD,21-Jan-17,21-Jan-17,123009764,2,158.0,31.55,Clothes & Shoes,Clothes,Street Wear,Anthony Bork Velma Nylon Pants,US,Mayday Inc,4646
220101400008,56919,Gold,05-Mar-17,05-Mar-17,123046877,1,8.4,3.8,Clothes & Shoes,Clothes,Tracker Clothes,Gym Bag,US,3Top Sports,2963
220200300016,62226,Gold,08-Mar-17,08-Mar-17,123064140,1,101.0,46.05,Clothes & Shoes,Shoes,Tracker Shoes,Men's Running Shoes Supernova,US,3Top Sports,2963
230100600005,38455,Silver,07-Mar-17,07-Mar-17,123062596,1,129.8,63.2,Outdoors,Outdoors,Sleepingbags,"Basic 10, Left , Yellow/Black",DK,Top Sports,755
240100100332,30397,Gold,06-Mar-17,06-Mar-17,123055119,1,32.8,14.0,Sports,Assorted Sports Articles,Assorted Sports articles,Knee Dressing Knee Pad Rehband Thermo,US,Teamsports Inc,5810
240100100582,18782,Silver,05-Mar-17,07-Mar-17,123050289,1,35.5,14.85,Sports,Assorted Sports Articles,Assorted Sports articles,Eliza T-Shirt with V-Neck,ES,Luna sastreria S.A.,4742
240100100673,13797,SILVER,27-Feb-17,27-Feb-17,123019047,1,59.9,25.35,Sports,Assorted Sports Articles,Assorted Sports articles,Richard Polo-Shirt,ES,Luna sastreria S.A.,4742
210201000096,85260,Silver,10-Jan-17,10-Jan-17,123052924,1,22.9,10.45,Children,Children Sports,Tracker Kid's Clothes,Pa.sf Girl's Shorts,US,3Top Sports,2963
220100100316,65356,Silver,05-Feb-17,05-Feb-17,123098175,1,49.5,24.85,Clothes & Shoes,Clothes,Eclipse Clothing,Brushed Fleece Components B Fleece,US,Eclipse Inc,1303
220101400276,11835,SILVER,24-Jan-17,24-Jan-17,123028722,1,67.8,30.9,Clothes & Shoes,Clothes,Tracker Clothes,Pine Sweat with Hood,US,3Top Sports,2963
240100100115,35731,Silver,09-Jan-17,22-Jan-17,123044552,1,26.2,11.75,Sports,Assorted Sports Articles,Assorted Sports articles,Safe Skate Helmet Large Black,US,Roll-Over Inc,3815
240100100325,9533,Gold,23-Feb-17,27-Feb-17,123092610,3,1437.9,239.6,Sports,Assorted Sports Articles,Assorted Sports articles,Jeff's Hockey,PT,Magnifico Sports,1684
220100100528,11260,Gold,03-Feb-17,03-Feb-17,123084914,1,35.0,17.6,Clothes & Shoes,Clothes,Eclipse Clothing,Woman's Dry Fit T-Shirt w/Short sleeves,US,Eclipse Inc,1303
230100500094,64202,SILVER,13-Feb-17,13-Feb-17,123042918,1,86.6,34.1,Outdoors,Outdoors,Outdoor Gear,"Men's Pants, Basic",US,Mayday Inc,4646
240100100710,90093,Silver,15-Jan-17,17-Jan-17,123078930,1,34.3,14.35,Sports,Assorted Sports Articles,Assorted Sports articles,Top Bag Navy/White/Green,GB,British Sports Ltd,1280
220200100224,30052,Silver,16-Jan-17,16-Jan-17,123085513,1,144.9,72.55,Clothes & Shoes,Shoes,Eclipse Shoes,Woman's Air Tuned Sovereign,US,Eclipse Inc,1303
220100500026,80527,Gold,14-Jan-17,14-Jan-17,123074416,1,63.0,28.7,Clothes & Shoes,Clothes,Leisure,Van Damme Women's Polo Pique L,NL,Van Dammeren International,2995
240200100061,53913,Silver,13-Feb-17,20-Feb-17,123042704,1,93.4,48.15,Sports,Golf,Golf,Clubroller Xl 2000 Golf Trolley Alu,NL,Van Dammeren International,2995
240600100054,19449,Gold,27-Feb-17,27-Feb-17,123017982,1,26.1,11.95,Sports,Swim Sports,Bathing Suits,Cougar Sarong,US,SD Sporting Goods Inc,13710
240600100089,53129,GOLD,24-Jan-17,26-Jan-17,123031607,1,22.0,9.1,Sports,Swim Sports,Bathing Suits,Sunfit Bombay Swimming Trunks,US,Nautlius SportsWear Inc,6153
220200200018,39279,Silver,05-Jan-17,05-Jan-17,123025944,1,66.4,30.25,Clothes & Shoes,Shoes,Shoes,Lulu Men's Street Shoes,SE,Petterson AB,109
